[28-May-2016 09:29:11 America/Los_Angeles] PHP Fatal error:  Class 'config' not found in P:\HTTP\git\PGO_V3\Program-O\index.php on line 22
[28-May-2016 09:29:29 America/Los_Angeles] PHP Fatal error:  Class 'Config' not found in P:\HTTP\git\PGO_V3\Program-O\index.php on line 22
[28-May-2016 09:34:19 America/Los_Angeles] PHP Fatal error:  Class 'Config' not found in P:\HTTP\git\PGO_V3\Program-O\index.php on line 22
[28-May-2016 09:36:32 America/Los_Angeles] PHP Fatal error:  Class 'Config' not found in P:\HTTP\git\PGO_V3\Program-O\index.php on line 24
[28-May-2016 09:39:01 America/Los_Angeles] PHP Warning:  require_once(P:\HTTP\git\PGO_V3\Program-O/classesclass.Config.php): failed to open stream: No such file or directory in P:\HTTP\git\PGO_V3\Program-O\index.php on line 35
[28-May-2016 09:39:01 America/Los_Angeles] PHP Fatal error:  require_once(): Failed opening required 'P:\HTTP\git\PGO_V3\Program-O/classesclass.Config.php' (include_path='.;O:\PHP\PEAR;O:\PHP\PEAR\apigen;O:\PHP\includes') in P:\HTTP\git\PGO_V3\Program-O\index.php on line 35
[28-May-2016 09:39:19 America/Los_Angeles] PHP Warning:  require_once(P:\HTTP\git\PGO_V3\Program-O/classesConfig.php): failed to open stream: No such file or directory in P:\HTTP\git\PGO_V3\Program-O\index.php on line 35
[28-May-2016 09:39:19 America/Los_Angeles] PHP Fatal error:  require_once(): Failed opening required 'P:\HTTP\git\PGO_V3\Program-O/classesConfig.php' (include_path='.;O:\PHP\PEAR;O:\PHP\PEAR\apigen;O:\PHP\includes') in P:\HTTP\git\PGO_V3\Program-O\index.php on line 35
[28-May-2016 09:39:43 America/Los_Angeles] PHP Fatal error:  Class 'Config' not found in P:\HTTP\git\PGO_V3\Program-O\index.php on line 24
[28-May-2016 09:40:03 America/Los_Angeles] PHP Warning:  parse_ini_file(../config/config.ini): failed to open stream: No such file or directory in P:\HTTP\git\PGO_V3\Program-O\classes\Config.php on line 22
[28-May-2016 09:40:03 America/Los_Angeles] PHP Warning:  file_put_contents(../logs/cfgArray.txt): failed to open stream: No such file or directory in P:\HTTP\git\PGO_V3\Program-O\classes\Config.php on line 23
